Month,RepID,VisitsTarget,ProductiveCallsTarget
2025-01-01,R001,68,49
2025-01-01,R002,55,40
2025-01-01,R003,58,42
2025-01-01,R004,65,47
2025-01-01,R005,55,40
2025-01-01,R006,55,40
2025-01-01,R007,55,40
2025-01-01,R008,65,47
2025-01-01,R010,55,40
2025-01-01,R011,64,46
2025-02-01,R001,57,41
2025-02-01,R002,55,40
2025-02-01,R003,55,40
2025-02-01,R004,55,40
2025-02-01,R005,55,40
2025-02-01,R006,55,40
2025-02-01,R007,55,40
2025-02-01,R008,60,43
2025-02-01,R009,55,40
2025-02-01,R010,55,40
2025-02-01,R011,55,40
2025-03-01,R001,60,43
2025-03-01,R002,55,40
2025-03-01,R003,55,40
2025-03-01,R004,55,40
2025-03-01,R005,55,40
2025-03-01,R006,58,42
2025-03-01,R007,55,40
2025-03-01,R008,55,40
2025-03-01,R009,55,40
2025-03-01,R010,55,40
2025-03-01,R011,55,40
2025-04-01,R001,55,40
2025-04-01,R002,55,40
2025-04-01,R003,55,40
2025-04-01,R004,60,43
2025-04-01,R005,56,40
2025-04-01,R006,55,40
2025-04-01,R007,60,44
2025-04-01,R008,55,40
2025-04-01,R009,55,40
2025-04-01,R010,55,40
2025-04-01,R011,55,40
2025-04-01,R012,55,40
2025-04-01,R013,55,40
2025-05-01,R001,55,40
2025-05-01,R002,55,40
2025-05-01,R003,55,40
2025-05-01,R004,59,42
2025-05-01,R005,55,40
2025-05-01,R006,57,41
2025-05-01,R007,55,40
2025-05-01,R008,57,41
2025-05-01,R009,57,41
2025-05-01,R010,55,40
2025-05-01,R011,55,40
2025-05-01,R012,55,40
2025-05-01,R013,55,40
2025-05-01,R014,65,47
2025-06-01,R001,55,40
2025-06-01,R002,55,40
2025-06-01,R003,55,40
2025-06-01,R004,55,40
2025-06-01,R005,55,40
2025-06-01,R006,59,43
2025-06-01,R007,55,40
2025-06-01,R008,55,40
2025-06-01,R009,55,40
2025-06-01,R010,55,40
2025-06-01,R011,55,40
2025-06-01,R012,55,40
2025-06-01,R013,55,40
2025-06-01,R014,55,40
2025-07-01,R001,59,42
2025-07-01,R002,55,40
2025-07-01,R003,55,40
2025-07-01,R004,60,43
2025-07-01,R005,57,41
2025-07-01,R006,55,40
2025-07-01,R007,55,40
2025-07-01,R008,56,41
2025-07-01,R009,55,40
2025-07-01,R010,55,40
2025-07-01,R011,55,40
2025-07-01,R012,55,40
2025-07-01,R013,55,40
2025-07-01,R014,56,40
2025-07-01,R015,55,40
2025-08-01,R001,55,40
2025-08-01,R002,55,40
2025-08-01,R003,55,40
2025-08-01,R004,55,40
2025-08-01,R005,55,40
2025-08-01,R006,55,40
2025-08-01,R007,55,40
2025-08-01,R008,55,40
2025-08-01,R009,55,40
2025-08-01,R010,55,40
2025-08-01,R011,55,40
2025-08-01,R012,55,40
2025-08-01,R013,55,40
2025-08-01,R014,55,40
2025-08-01,R015,55,40
2025-09-01,R001,55,40
2025-09-01,R002,55,40
2025-09-01,R003,55,40
2025-09-01,R004,58,42
2025-09-01,R005,57,41
2025-09-01,R006,55,40
2025-09-01,R007,55,40
2025-09-01,R008,55,40
2025-09-01,R009,55,40
2025-09-01,R010,55,40
2025-09-01,R011,55,40
2025-09-01,R012,55,40
2025-09-01,R013,55,40
2025-09-01,R014,55,40
2025-09-01,R015,60,43
2025-09-01,R016,55,40
2025-10-01,R001,55,40
2025-10-01,R002,55,40
2025-10-01,R003,55,40
2025-10-01,R004,55,40
2025-10-01,R005,55,40
2025-10-01,R006,55,40
2025-10-01,R007,61,44
2025-10-01,R008,59,43
2025-10-01,R009,55,40
2025-10-01,R010,55,40
2025-10-01,R011,59,42
2025-10-01,R012,55,40
2025-10-01,R013,57,41
2025-10-01,R014,60,43
2025-10-01,R015,59,42
2025-10-01,R016,61,44
2025-11-01,R001,55,40
2025-11-01,R002,55,40
2025-11-01,R003,55,40
2025-11-01,R004,61,44
2025-11-01,R005,55,40
2025-11-01,R006,55,40
2025-11-01,R007,55,40
2025-11-01,R008,55,40
2025-11-01,R009,55,40
2025-11-01,R010,55,40
2025-11-01,R011,55,40
2025-11-01,R012,55,40
2025-11-01,R013,55,40
2025-11-01,R014,55,40
2025-11-01,R015,58,42
2025-11-01,R016,55,40
2025-12-01,R001,55,40
