AccountID,AccountName,AccountType,TerritoryID,TerritoryName,Governorate,Region,Segment,CreditLimit,JoinDate,Status,PotentialIndex
A0001,Shebin El-Kom Pharmacy 01,Pharmacy,T01,Shebin El-Kom,Monufia,Delta,C,48500.0,2024-06-26,Active,0.83
A0002,Shebin El-Kom Pharmacy 02,Pharmacy,T01,Shebin El-Kom,Monufia,Delta,A,171900.0,2024-05-03,Active,1.69
A0003,Shebin El-Kom Pharmacy 03,Pharmacy,T01,Shebin El-Kom,Monufia,Delta,A,213500.0,2023-03-27,Active,1.48
A0004,Shebin El-Kom Pharmacy 04,Pharmacy,T01,Shebin El-Kom,Monufia,Delta,B,115100.0,2023-01-09,Active,0.89
A0005,Shebin El-Kom Pharmacy 05,Pharmacy,T01,Shebin El-Kom,Monufia,Delta,B,86000.0,2024-02-03,Active,1.08
A0006,Shebin El-Kom Pharmacy 06,Pharmacy,T01,Shebin El-Kom,Monufia,Delta,A,173400.0,2024-08-26,Active,1.77
A0007,Shebin El-Kom Hospital 07,Hospital,T01,Shebin El-Kom,Monufia,Delta,B,104500.0,2024-09-19,Active,0.88
A0008,Shebin El-Kom Pharmacy 08,Pharmacy,T01,Shebin El-Kom,Monufia,Delta,B,88800.0,2023-11-23,Active,0.95
A0009,Shebin El-Kom Clinic 09,Clinic,T01,Shebin El-Kom,Monufia,Delta,A,159000.0,2024-01-13,Active,1.43
A0010,Shebin El-Kom Pharmacy 10,Pharmacy,T01,Shebin El-Kom,Monufia,Delta,B,78800.0,2024-03-19,Active,0.87
A0011,Shebin El-Kom Pharmacy 11,Pharmacy,T01,Shebin El-Kom,Monufia,Delta,B,83600.0,2023-08-04,Active,0.99
A0012,Shebin El-Kom Pharmacy 12,Pharmacy,T01,Shebin El-Kom,Monufia,Delta,A,153400.0,2022-12-05,Active,1.48
A0013,Shebin El-Kom Pharmacy 13,Pharmacy,T01,Shebin El-Kom,Monufia,Delta,C,55000.0,2022-10-08,Active,0.82
A0014,Shebin El-Kom Hospital 14,Hospital,T01,Shebin El-Kom,Monufia,Delta,B,84400.0,2023-03-11,Active,0.99
A0015,Shebin El-Kom Pharmacy 15,Pharmacy,T01,Shebin El-Kom,Monufia,Delta,C,50800.0,2024-02-03,Active,0.73
A0016,Shebin El-Kom Pharmacy 16,Pharmacy,T01,Shebin El-Kom,Monufia,Delta,A,178100.0,2024-10-27,Active,1.63
A0017,Shebin El-Kom Clinic 17,Clinic,T01,Shebin El-Kom,Monufia,Delta,B,106400.0,2024-05-09,Active,1.09
A0018,Shebin El-Kom Hospital 18,Hospital,T01,Shebin El-Kom,Monufia,Delta,C,42100.0,2024-06-29,Active,0.75
A0019,Shebin El-Kom Hospital 19,Hospital,T01,Shebin El-Kom,Monufia,Delta,A,215800.0,2022-12-04,Active,1.76
A0020,Shebin El-Kom Pharmacy 20,Pharmacy,T01,Shebin El-Kom,Monufia,Delta,B,87100.0,2023-12-22,Active,1.13
A0021,Shebin El-Kom Clinic 21,Clinic,T01,Shebin El-Kom,Monufia,Delta,A,216800.0,2024-11-20,Active,1.51
A0022,Shebin El-Kom Pharmacy 22,Pharmacy,T01,Shebin El-Kom,Monufia,Delta,A,185900.0,2022-08-28,Active,1.42
A0023,Shebin El-Kom Clinic 23,Clinic,T01,Shebin El-Kom,Monufia,Delta,B,81900.0,2024-05-28,Active,1.05
A0024,Shebin El-Kom Clinic 24,Clinic,T01,Shebin El-Kom,Monufia,Delta,A,169000.0,2022-10-09,Active,1.42
A0025,Shebin El-Kom Clinic 25,Clinic,T01,Shebin El-Kom,Monufia,Delta,B,94200.0,2024-06-13,Active,1.19
A0026,Shebin El-Kom Hospital 26,Hospital,T01,Shebin El-Kom,Monufia,Delta,B,112200.0,2023-02-13,Active,1.09
A0027,Shebin El-Kom Pharmacy 27,Pharmacy,T01,Shebin El-Kom,Monufia,Delta,A,153000.0,2022-09-26,Active,1.36
A0028,Shebin El-Kom Hospital 28,Hospital,T01,Shebin El-Kom,Monufia,Delta,B,111400.0,2023-08-31,Active,1.14
A0029,Shebin El-Kom Pharmacy 29,Pharmacy,T01,Shebin El-Kom,Monufia,Delta,C,49800.0,2023-12-28,Active,0.8
A0030,Shebin El-Kom Pharmacy 30,Pharmacy,T01,Shebin El-Kom,Monufia,Delta,B,118100.0,2024-03-18,Active,1.19
A0031,Shebin El-Kom Pharmacy 31,Pharmacy,T01,Shebin El-Kom,Monufia,Delta,C,41300.0,2023-09-02,Active,0.91
A0032,Shebin El-Kom Pharmacy 32,Pharmacy,T01,Shebin El-Kom,Monufia,Delta,C,36400.0,2023-09-03,Active,0.65
A0033,Shebin El-Kom Pharmacy 33,Pharmacy,T01,Shebin El-Kom,Monufia,Delta,A,150800.0,2022-10-01,Active,1.52
A0034,Shebin El-Kom Pharmacy 34,Pharmacy,T01,Shebin El-Kom,Monufia,Delta,B,110200.0,2023-07-08,Active,0.97
A0035,Shebin El-Kom Distributor 35,Distributor,T01,Shebin El-Kom,Monufia,Delta,A,213200.0,2023-10-27,Active,1.3
A0036,Shebin El-Kom Pharmacy 36,Pharmacy,T01,Shebin El-Kom,Monufia,Delta,C,38700.0,2023-09-08,Active,0.73
A0037,Shebin El-Kom Pharmacy 37,Pharmacy,T01,Shebin El-Kom,Monufia,Delta,A,167100.0,2022-10-06,Active,1.75
A0038,Shebin El-Kom Pharmacy 38,Pharmacy,T01,Shebin El-Kom,Monufia,Delta,B,92700.0,2022-11-18,Active,0.89
