ReturnID,ReturnDateRaw,OriginalInvoiceID,RepID,AccountID,ProductCodeRaw,ReturnQty,ReturnAmount,ReturnReason,Status
RET000001,2025-10-10,INV101188,R015,A0282,P001,3,574.06,Product Recall,Pending
RET000002,2025-11-27,INV101318,R009,A0332,P012,1,150.96,Near Expiry,Approved
RET000003,2026-07-07,INV103222,R018,A0372,P012 ,2,316.12,Order Error,Rejected
RET000004,2025-02-18,INV100134,R001,A0025,P002,2,268.95,Near Expiry,Approved
RET000005,2026-03-26,INV102206,R003,A0107,P011,1,162.0,Product Recall,Approved
RET000006,2025-12-22,INV101803,R012,A0481,P012,1,144.28,Customer Overstock,Approved
RET000007,2025-07-24,INV100632,R008,A0287,P005,1,118.9,Near Expiry,Approved
RET000008,2026-01-25,INV101673,R011,A0442,P002,1,143.42,Near Expiry,Pending
RET000009,2026-07-28,INV102958,R010,A0361,P007,4,674.46,Order Error,Approved
RET000010,2025-10-20,INV101458,R014,A0188,P011,7,1075.7,Damaged Pack,Approved
RET000011,2025-05-09,INV100245,R011,A0417,P011,5,750.92,Damaged Pack,Pending
RET000012,2026-04-11,INV102482,R007,A0245,P006,1,137.67,Customer Overstock,Approved
RET000013,2026-03-30,INV102100,R008,A0298,P006,6,715.74,Customer Overstock,Pending
RET000014,2026-05-31,INV102542,R001,A0028,P007,3,493.1,Product Recall,Pending
RET000015,2025-10-02,INV101124,R008,A0282,P010,2,424.03,Damaged Pack,Approved
RET000016,2026-01-12,INV101576,R013,A0002,P004,3,456.41,Product Recall,Approved
RET000017,2025-11-21,INV101666,R016,A0414,P002,1,139.56,Product Recall,Pending
RET000018,2026-07-31,INV102842,R016,A0413,P007,2,342.68,Near Expiry,Approved
RET000019,2025-11-23,INV101577,R014,A0181,P004,6,939.42,Order Error,Rejected
RET000020,2025-08-11,INV100766,R005,A0190,P007,2,310.4,Customer Overstock,Pending
RET000021,2026-03-30,INV102245,R009,A0327,P001,4,739.59,Near Expiry,Pending
RET000022,2026-07-31,INV103316,R016,A0416,P002,1,149.43,Order Error,Approved
RET000023,2025-07-14,INV100751,R005,A0186,P012,1,148.69,Near Expiry,Approved
RET000024,2025-12-03,INV101721,R006,A0225,P002,3,435.34,Order Error,Approved
RET000025,2025-09-14,INV100898,R012,A0468,P008,1,201.37,Damaged Pack,Approved
RET000026,2025-10-09,INV101298,R004,A0135,P010,1,221.42,Order Error,Approved
RET000027,2026-03-15,INV102233,R001,A0025,P009,5,918.61,Damaged Pack,Approved
RET000028,2025-10-11,INV101270,R002,A0061,P006,1,131.46,Product Recall,Approved
RET000029,2025-03-17,INV100263,R002,A0057,P006,2,263.41,Near Expiry,Rejected
RET000030,2026-06-30,INV103101,R008,A0319,P007,1,181.96,Product Recall,Approved
RET000031,2026-07-31,INV103399,R003,A0081,P006,2,255.97,Damaged Pack,Approved
RET000032,2026-02-02,INV102090,R003,A0090,P005,3,341.76,Order Error,Pending
RET000033,2025-10-12,INV101370,R007,A0265,P009,2,354.19,Order Error,Approved
RET000034,2026-04-13,INV102311,R004,A0113,P008,8,1629.66,Near Expiry,Approved
RET000035,2026-04-08,INV102628,R017,A0082,P012,5,730.48,Damaged Pack,Approved
RET000036,2025-09-24,INV101301,R010,A0364,P007,2,307.36,Damaged Pack,Approved
RET000037,2025-03-24,INV100278,R010,A0384, P005,2,213.49,Product Recall,Approved
RET000038,2025-06-16,INV100385,R010,A0390,P002,2,269.79,Customer Overstock,Approved
RET000039,2025-03-25,INV100201,R008,A0283,P010,8,1610.42,Near Expiry,Pending
RET000040,2025-04-23,INV100322,R002,A0059,P007,4,633.78,Order Error,Approved
RET000041,2025-11-21,INV101602,R001,A0021,P004,1,144.43,Near Expiry,Rejected
RET000042,2025-08-17,INV100757,R002,A0061,P006,1,133.03,Order Error,Pending
RET000043,2026-07-31,INV103000,R005,A0179,P003,8,1892.53,Near Expiry,Approved
RET000044,2026-07-31,INV103323,R010,A0391,P003,1,237.78,Order Error,Approved
RET000045,2026-05-31,INV102706,R005,A0190,P004,5,785.86,Damaged Pack,Approved
RET000046,2025-03-25,INV100188,R003,A0094,P011,1,152.81,Customer Overstock,Approved
RET000047,2025-02-03,INV100017,R004,A0115,P006,2,250.19,Damaged Pack,Rejected
RET000048,2026-03-16,INV102309,R002,A0052,P002,2,289.18,Order Error,Approved
RET000049,2026-01-19,INV101783,R010,A0385,P008,7,1410.56,Near Expiry,Pending
RET000050,2026-03-01,INV101980,R011,A0411,p011,1,161.45,Product Recall,Approved
RET000051,2026-06-02,INV102743,R006,A0231,P001,1,207.42,Damaged Pack,Approved
RET000052,2026-03-01,INV102354,R013,A0020,P012,2,313.07,Near Expiry,Approved
RET000053,2026-05-21,INV102522,R008,A0286,P010,1,225.77,Product Recall,Approved
RET000054,2025-09-23,INV101256,R009,A0345,P009,1,181.38,Damaged Pack,Pending
RET000055,2026-07-31,INV103209,R016,A0453,P006,3,413.24,Product Recall,Approved
RET000056,2026-06-19,INV103069,R002,A0048,P002,2,289.78,Customer Overstock,Approved
RET000057,2025-03-18,INV100027,R010,A0407,P008,6,1190.95,Product Recall,Pending
RET000058,2026-07-31,INV103090,R002,A0047,P002,1,149.06,Near Expiry,Approved
RET000059,2025-01-29,INV100080,R006,A0195,P010,1,195.66,Customer Overstock,Approved
RET000060,2025-04-21,INV100256,R005,A0160,P004,2,302.45,Product Recall,Approved
RET000061,2025-07-11,INV100563,R006,A0211,P004,2,322.38,Damaged Pack,Rejected
RET000062,2025-04-29,INV100333,R004,A0111,P010,5,1054.81,Damaged Pack,Approved
RET000063,2026-07-31,INV103350,R010,A0386,P008,3,603.63,Order Error,Approved
RET000064,2026-06-11,INV102664,R002,A0048,P009,1,190.94,Product Recall,Approved
RET000065,2026-01-03,INV101781,R005,A0182,P005,9,947.1,Customer Overstock,Approved
RET000066,2025-11-24,INV101454,R009,A0360,P004,1,160.45,Product Recall,Pending
RET000067,2025-02-09,INV100007,R004,A0132,P003,8,1664.55,Product Recall,Approved
RET000068,2026-04-06,INV102449,R018,A0404,P009,1,194.82,Damaged Pack,Approved
RET000069,2025-10-08,INV101374,R012,A0463,P005,2,236.76,Customer Overstock,Pending
RET000070,2025-09-21,INV101089,R005,A0169,P008,4,819.28,Product Recall,Approved
RET000071,2025-09-13,INV100997,R007,A0269,P007,4,682.7,Near Expiry,Pending
RET000072,2026-02-18,INV101823,R013,A0033,P002,1,127.19,Order Error,Pending
RET000073,2025-03-09,INV100073,R005,A0169,P008,4,769.61,Near Expiry,Approved
RET000074,2025-07-30,INV100982,R012,A0504,P004,1,154.18,Near Expiry,Approved
RET000075,2026-03-10,INV102328,R018,A0397,P001,3,608.57,Product Recall,Approved
RET000076,2026-03-21,INV102474,R011,A0420,P009,1,200.06,Near Expiry,Approved
RET000077,2025-09-21,INV101198,R004,A0117,P004,3,450.44,Damaged Pack,Approved
RET000078,2025-11-25,INV101388,R011,A0426, P002,1,138.75,Customer Overstock,Approved
RET000079,2025-03-02,INV100126,R001,A0004,P003,3,651.93,Damaged Pack,Approved
RET000080,2026-03-04,INV102366,R010,A0383,P011,2,298.17,Near Expiry,Approved
RET000081,21-Aug-2025,INV100873,R013,A0029,P010,4,876.12,Product Recall,Approved
RET000082,2026-05-28,INV102838,R018,A0400,P009,4,735.89,Customer Overstock,Rejected
RET000083,2025-03-16,INV100202,R010,A0378,P012,1,148.69,Near Expiry,Approved
RET000084,2026-06-10,INV102885,R007,A0273,P002,1,145.75,Near Expiry,Approved
RET000085,19-Mar-2026,INV102035,R010,A0403,P001,2,393.26,Product Recall,Pending
RET000086,2025-08-19,INV101016,R004,A0142,P008,4,729.25,Damaged Pack,Rejected
RET000087,2025-11-14,INV101505,R016,A0410,P011 ,1,157.59,Damaged Pack,Approved
RET000088,2026-03-08,INV102396,R011,A0427,P007,6,980.17,Product Recall,Approved
RET000089,2025-03-16,INV100198,R010,A0383,P011,7,1015.19,Product Recall,Approved
RET000090,2025-04-04,INV100075,R008,A0305,P008,1,206.96,Near Expiry,Approved
RET000091,2025-09-25,INV100995,R005,A0185,P010,9,1850.38,Order Error,Approved
RET000092,2026-07-31,INV103336,R016,A0454,P011,5,760.35,Order Error,Approved
RET000093,2025-07-23,INV100738,R009,A0346,P002,1,135.46,Customer Overstock,Pending
RET000094,2025-12-02,INV101461,R005,A0158,P002,4,558.08,Customer Overstock,Approved
RET000095,2025-11-28,INV101408,R016,A0416,P001,3,580.22,Damaged Pack,Pending
RET000096,2026-01-10,INV101654,R014,A0158,P011,2,310.6,Order Error,Approved
RET000097,2025-04-15,INV100296,R011,A0430,P012,2,293.6,Damaged Pack,Approved
RET000098,2025-10-03,INV101193,R010,A0379,P002,1,128.47,Damaged Pack,Approved
RET000099,2025-07-04,INV100745,R010,A0377,P006,4,471.09,Product Recall,Approved
RET000100,2025-05-06,INV100316,R005,A0158,P008,4,731.16,Damaged Pack,Approved
RET000101,2026-01-28,INV101718,R002,A0056,P005,3,337.65,Order Error,Approved
RET000102,2026-02-07,INV102197,R001,A0039,P009,8,1455.18,Product Recall,Pending
RET000103,2025-07-11,INV100823,R012,A0483,P009,2,379.04,Near Expiry,Approved
RET000104,2025-08-21,INV101049,R010,A0385,P001,4,735.82,Near Expiry,Approved
RET000105,07/18/2025,INV100798,R004,A0129,P001,2,379.8,Customer Overstock,Approved
RET000106,2025-07-06,INV100791,R007,A0277,P011,3,448.24,Product Recall,Approved
RET000107,2025-10-03,INV101297,R003,A0104,P008,1,204.62,Customer Overstock,Approved
RET000108,2026-04-14,INV102210,R012,A0477,P001,2,395.68,Damaged Pack,Approved
RET000109,2026-05-19,INV102870,R017,A0100, P006,2,247.8,Damaged Pack,Approved
RET000110,2026-07-05,INV102953,R005,A0180,P011,1,155.62,Customer Overstock,Pending
RET000111,2026-07-31,INV103014,R008,A0304,P007,1,171.15,Order Error,Pending
RET000112,2025-11-30,INV101711,R003,A0083,P003,2,444.25,Near Expiry,Approved
RET000113,2025-06-20,INV100403,R003,A0080,P002,1,146.99,Product Recall,Approved
RET000114,2026-07-31,INV103241,R012,A0489,P004,3,502.13,Damaged Pack,Approved
RET000115,2026-07-31,INV103314,R011,A0413,P010,1,227.49,Order Error,Approved
RET000116,2025-04-08,INV100102,R002,A0070,P002,1,129.83,Near Expiry,Pending
RET000117,2025-05-26,INV100460,R001,A0007,P011,2,305.75,Near Expiry,Approved
RET000118,2026-06-23,INV102809,R013,A0030,P001,3,586.81,Near Expiry,Approved
RET000119,2026-03-20,INV102308,R001,A0002,P008,5,1020.43,Customer Overstock,Approved
RET000120,2026-02-23,INV102018,R010,A0406,P005,5,530.95,Damaged Pack,Approved
RET000121,2025-07-01,INV100577,R006,A0207,P009,4,656.44,Order Error,Rejected
RET000122,2025-05-01,INV100197,R007,A0265,P006,3,363.38,Damaged Pack,Approved
RET000123,2025-09-06,INV100933,R015,A0291,P011,1,154.8,Damaged Pack,Rejected
RET000124,2026-07-31,INV103143,R015,A0320,P010,2,463.28,Order Error,Approved
RET000125,2026-06-08,INV102803,R005,A0157,P011,1,160.74,Order Error,Approved
RET000126,2026-01-04,INV101924,R009,A0348,P002,1,137.93,Customer Overstock,Approved
RET000127,2025-08-30,INV101101,R014,A0183,P010,2,409.59,Near Expiry,Approved
RET000128,2026-07-31,INV103256,R009,A0360,P006,1,136.6,Product Recall,Approved
RET000129,2026-02-16,INV102127,R015,A0312,P012,3,443.22,Order Error,Approved
RET000130,11/05/2025,INV100259,R009,A0340,P001,1,179.46,Customer Overstock,Approved
RET000131,2025-08-15,INV100818,R006,A0209,P005,1,109.76,Order Error,Pending
RET000132,2025-08-07,INV100644,R003,A0088,P009,1,175.66,Order Error,Pending
RET000133,2025-04-21,INV100208,R005,A0169,P010,1,205.91,Damaged Pack,Approved
RET000134,2026-05-18,INV102432,R005,A0170,p006,2,266.78,Order Error,Approved
RET000135,2026-07-31,INV103246,R011,A0431,P001,3,593.96,Product Recall,Approved
RET000136,2025-06-02,INV100477,R001,A0031,P009,2,379.37,Customer Overstock,Approved
RET000137,2026-06-02,INV102729,R012,A0480,P003,2,477.66,Near Expiry,Approved
RET000138,2026-07-31,INV103211,R001,A0013,P008,3,656.96,Near Expiry,Approved
RET000139,2026-02-28,INV102207,R005,A0185,P007,5,817.56,Near Expiry,Pending
RET000140,2026-07-19,INV103234,R018,A0374,P001,1,186.67,Near Expiry,Rejected
RET000141,2025-08-31,INV100900,R014,A0182,P006,1,120.44,Damaged Pack,Approved
RET000142,2026-07-18,INV103041,R010,A0390,P003,2,506.62,Near Expiry,Pending
RET000143,2026-01-18,INV102031,R002,A0075,P011,2,335.84,Near Expiry,Approved
RET000144,2026-07-31,INV103305,R011,A0447,P001,2,374.62,Order Error,Pending
RET000145,2025-06-26,INV100752,R008,A0310,P011,5,732.34,Near Expiry,Approved
RET000146,2026-01-26,INV101763,R012,A0496,P009,2,355.21,Product Recall,Approved
RET000147,2025-07-26,INV100709,R007,A0246,P009,2,359.66,Damaged Pack,Approved
RET000148,2026-01-07,INV101886,R014,A0179,p006,1,125.46,Near Expiry,Approved
RET000149,2025-07-22,INV100605,R004,A0132,P011,1,144.76,Order Error,Approved
RET000150,2026-05-15,INV102425,R008,A0311,P009,5,948.08,Near Expiry,Approved
RET000151,2026-01-19,INV102026,R008,A0286,P007,4,679.92,Order Error,Approved
RET000152,2025-10-27,INV101458,R014,A0188,P006,1,120.71,Damaged Pack,Approved
RET000153,2025-05-08,INV100246,R001,A0003,P010,3,606.93,Damaged Pack,Approved
RET000154,2025-06-11,INV100413,R005,A0177,P001,1,191.95,Damaged Pack,Pending
RET000155,2025-07-31,INV100922,R010,A0395,P006,4,511.54,Product Recall,Pending
RET000156,2025-09-26,INV101204,R015,A0295,P004,1,164.89,Damaged Pack,Approved
RET000157,2026-01-28,INV102074,R011,A0450,P009,7,1260.09,Customer Overstock,Approved
RET000158,2026-05-11,INV102390,R018,A0402,P006,1,138.05,Near Expiry,Approved
RET000159,2026-06-17,INV102904,R006,A0210,P011,1,162.82,Customer Overstock,Approved
RET000160,2026-02-28,INV101873,R010,A0362,P004,1,150.65,Order Error,Pending
RET000161,2026-01-05,INV101924,R009,A0348,P012,1,150.55,Damaged Pack,Pending
RET000162,2025-07-11,INV100730,R007,A0270,P011,1,149.82,Product Recall,Approved
RET000163,2026-02-28,INV102105,R016,A0417,P006,1,129.89,Near Expiry,Approved
RET000164,2025-08-26,INV100952,R009,A0341,P005,1,107.02,Customer Overstock,Approved
RET000165,2026-07-26,INV103207,R011,A0446,P007,1,182.81,Damaged Pack,Approved
RET000166,2026-07-21,INV102865,R001,A0032,P003,2,500.42,Customer Overstock,Approved
RET000167,2026-01-08,INV102005,R013,A0023,P007,2,333.31,Order Error,Rejected
RET000168,2025-06-23,INV100425,R005,A0180,P005,2,214.14,Damaged Pack,Approved
RET000169,2025-11-02,INV101458,R014,A0188,P001,2,354.94,Order Error,Pending
RET000170,05/22/2026,INV102569,R012,A0479,P011,2,317.14,Damaged Pack,Pending
RET000171,2025-05-17,INV100268,R006,A0205,P010,1,221.54,Near Expiry,Approved
RET000172,2026-01-24,INV101848,R014,A0167,P011,2,328.98,Product Recall,Approved
RET000173,2025-12-23,INV101446,R013,A0040,P001,1,198.67,Product Recall,Approved
RET000174,2026-01-24,INV101920,R005,A0180,P008,5,997.29,Product Recall,Approved
RET000175,2025-06-13,INV100591,R001,A0035,P005,7,757.6,Near Expiry,Approved
RET000176,2025-05-15,INV100414,R006,A0220,P004,3,468.64,Near Expiry,Approved
RET000177,2025-11-19,INV101311,R014,A0169,P003,1,218.62,Damaged Pack,Approved
RET000178,2025-08-17,INV101039,R007,A0278,P006,4,482.69,Customer Overstock,Pending
RET000179,2026-07-31,INV103302,R017,A0091,P007,5,878.05,Order Error,Approved
RET000180,2025-04-11,INV100284,R003,A0079,P004,5,779.02,Customer Overstock,Approved
RET000181,2025-03-27,INV100317,R006,A0213, P001,1,183.51,Order Error,Approved
RET000182,2025-06-01,INV100592,R003,A0088,P007,1,167.68,Order Error,Pending
RET000183,2025-07-10,INV100561,R002,A0045,P008,1,179.59,Customer Overstock,Approved
RET000184,06/09/2026,INV103007,R015,A0283,P010,1,218.11,Product Recall,Approved
