Month,RepID,ProductCode,SalesTarget,UnitsTarget,TargetStatus
2025-01-01,R001,P001,1800,9,Approved
2025-01-01,R001,P002,1100,8,Approved
2025-01-01,R001,P003,2100,9,Approved
2025-01-01,R001,P004,1500,9,Approved
2025-01-01,R001,P005,800,7,Approved
2025-01-01,R001,P006,3300,28,Approved
2025-01-01,R001,P007,1400,8,Approved
2025-01-01,R001,P008,1700,8,Approved
2025-01-01,R001,P009,2900,17,Approved
2025-01-01,R001,P010,1100,5,Approved
2025-01-01,R001,P011,2400,17,Approved
2025-01-01,R001,P012,2700,18,Revised
2025-01-01,R002,P001,1600,9,Approved
2025-01-01,R002,P002,600,5,Approved
2025-01-01,R002,P003,1800,8,Approved
2025-01-01,R002,P004,700,4,Approved
2025-01-01,R002,P005,900,7,Approved
2025-01-01,R002,P006,1400,11,Approved
2025-01-01,R002,P007,1400,8,Approved
2025-01-01,R002,P008,3800,20,Approved
2025-01-01,R002,P009,1100,6,Approved
2025-01-01,R002,P010,1700,8,Approved
2025-01-01,R002,P011,1200,8,Approved
2025-01-01,R002,P012,2000,14,Approved
2025-01-01,R003,P001,1500,7,Approved
2025-01-01,R003,P002,900,6,Revised
2025-01-01,R003,P003,1500,6,Approved
2025-01-01,R003,P004,5600,37,Approved
2025-01-01,R003,P005,800,6,Approved
2025-01-01,R003,P006,1400,12,Approved
2025-01-01,R003,P007,600,3,Approved
2025-01-01,R003,P008,800,4,Approved
2025-01-01,R003,P009,1200,6,Approved
2025-01-01,R003,P010,2900,14,Approved
2025-01-01,R003,P011,300,2,Approved
2025-01-01,R003,P012,1300,9,Approved
2025-01-01,R004,P001,1500,8,Approved
2025-01-01,R004,P002,100,1,Approved
2025-01-01,R004,P003,2800,14,Approved
2025-01-01,R004,P004,1500,9,Approved
2025-01-01,R004,P005,1500,14,Approved
2025-01-01,R004,P006,1100,9,Approved
2025-01-01,R004,P007,1100,6,Approved
2025-01-01,R004,P008,2700,13,Approved
2025-01-01,R004,P009,2300,13,Approved
2025-01-01,R004,P010,1300,6,Approved
2025-01-01,R004,P011,900,6,Approved
2025-01-01,R004,P012,2900,20,Approved
2025-01-01,R005,P001,1300,7,Approved
2025-01-01,R005,P002,900,7,Approved
2025-01-01,R005,P003,4600,21,Approved
2025-01-01,R005,P004,1300,8,Approved
2025-01-01,R005,P005,4000,37,Approved
2025-01-01,R005,P006,2100,18,Approved
2025-01-01,R005,P007,2000,13,Approved
2025-01-01,R005,P008,4100,21,Approved
2025-01-01,R005,P009,2000,12,Approved
2025-01-01,R005,P010,7900,39,Approved
2025-01-01,R005,P011,1200,8,Approved
2025-01-01,R005,P012,1400,10,Approved
2025-01-01,R006,P001,1400,7,Approved
2025-01-01,R006,P002,1400,11,Approved
2025-01-01,R006,P003,3800,17,Approved
2025-01-01,R006,P004,800,5,Approved
2025-01-01,R006,P005,1000,8,Approved
2025-01-01,R006,P006,5100,43,Approved
2025-01-01,R006,P007,1600,9,Approved
2025-01-01,R006,P008,1100,6,Approved
2025-01-01,R006,P009,1800,11,Approved
2025-01-01,R006,P010,9200,46,Approved
2025-01-01,R006,P011,1700,12,Approved
2025-01-01,R006,P012,1800,13,Approved
2025-01-01,R007,P001,1600,9,Approved
2025-01-01,R007,P002,1100,7,Approved
2025-01-01,R007,P003,2900,14,Approved
2025-01-01,R007,P004,1200,7,Approved
2025-01-01,R007,P005,1000,9,Approved
2025-01-01,R007,P006,1200,9,Approved
2025-01-01,R007,P007,1400,9,Approved
2025-01-01,R007,P008,1800,9,Approved
2025-01-01,R007,P009,1600,9,Approved
2025-01-01,R007,P010,2000,10,Approved
2025-01-01,R007,P011,1300,9,Approved
2025-01-01,R007,P012,800,6,Approved
2025-01-01,R008,P001,1600,9,Approved
2025-01-01,R008,P002,1400,11,Approved
2025-01-01,R008,P003,2500,12,Approved
2025-01-01,R008,P004,1800,11,Approved
2025-01-01,R008,P005,3800,35,Approved
2025-01-01,R008,P006,1700,15,Approved
2025-01-01,R008,P007,1500,9,Approved
2025-01-01,R008,P008,3000,16,Approved
2025-01-01,R008,P009,2300,13,Approved
2025-01-01,R008,P010,500,3,Approved
2025-01-01,R008,P011,1300,8,Approved
2025-01-01,R008,P012,700,5,Approved
2025-01-01,R010,P001,2300,12,Approved
2025-01-01,R010,P002,1400,10,Approved
2025-01-01,R010,P003,500,2,Approved
2025-01-01,R010,P004,2700,18,Revised
2025-01-01,R010,P005,1000,9,Approved
2025-01-01,R010,P006,1300,11,Approved
2025-01-01,R010,P007,1200,8,Approved
2025-01-01,R010,P008,4900,26,Approved
2025-01-01,R010,P009,2100,11,Approved
2025-01-01,R010,P010,1500,7,Approved
2025-01-01,R010,P011,4400,31,Approved
2025-01-01,R010,P012,1200,8,Approved
2025-01-01,R011,P001,1300,7,Approved
2025-01-01,R011,P002,1000,8,Approved
2025-01-01,R011,P003,2600,12,Approved
2025-01-01,R011,P004,3000,19,Approved
2025-01-01,R011,P005,800,7,Approved
2025-01-01,R011,P006,900,8,Approved
2025-01-01,R011,P007,1700,10,Approved
2025-01-01,R011,P008,900,5,Approved
2025-01-01,R011,P009,3100,18,Approved
2025-01-01,R011,P010,600,3,Approved
2025-01-01,R011,P011,1200,8,Approved
2025-01-01,R011,P012,4700,34,Approved
2025-02-01,R001,P001,700,4,Approved
2025-02-01,R001,P002,2500,20,Approved
2025-02-01,R001,P003,3300,15,Approved
2025-02-01,R001,P004,3400,22,Approved
2025-02-01,R001,P005,4100,37,Approved
2025-02-01,R001,P006,1200,9,Approved
2025-02-01,R001,P007,5100,33,Approved
2025-02-01,R001,P008,500,3,Approved
2025-02-01,R001,P009,4400,25,Approved
2025-02-01,R001,P010,3600,17,Approved
2025-02-01,R001,P011,3900,27,Approved
2025-02-01,R001,P012,1000,7,Approved
2025-02-01,R002,P001,1200,6,Approved
2025-02-01,R002,P002,1100,8,Approved
2025-02-01,R002,P003,1400,7,Approved
